url,entry_point,link_text,source_page,report_year,filename,status
https://www.unilever.com/files/unilever-annual-report-and-accounts-2025.pdf,https://www.unilever.com/investors/annual-report-and-accounts/,Unilever Annual Report and Accounts 2025 (PDF 6.16 MB),https://www.unilever.com/investors/annual-report-and-accounts/,2025,unilever-annual-report-and-accounts-2025.pdf,discovered
https://www.unilever.com/files/unilever-annual-report-and-accounts-2024.pdf,https://www.unilever.com/investors/annual-report-and-accounts/,Unilever Annual Report and Accounts 2024 (PDF 16.16 MB),https://www.unilever.com/investors/annual-report-and-accounts/archive-of-annual-report-and-accounts/,2024,unilever-annual-report-and-accounts-2024.pdf,discovered
https://www.unilever.com/files/unilever-annual-report-and-accounts-2023.pdf,https://www.unilever.com/investors/annual-report-and-accounts/,Unilever Annual Report and Accounts 2023 (PDF 14.76 MB),https://www.unilever.com/investors/annual-report-and-accounts/archive-of-annual-report-and-accounts/,2023,unilever-annual-report-and-accounts-2023.pdf,discovered
